email;password;first_name;second_name;description;position;department;role_id
andreypetrov@yandex.org;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Андрей;Петров;Это описание;Front dev;Android приложений;2
daniil@proton.mail;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Даниил;Даниилович;мяу;UI/UX desiner;Android приложений;2
limasov@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Алексей;Навальный;null;null;null;1
test@mail.ru;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Владимир;Владимирович;null;null;null;1

limasov1@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Аарон;Ааронович;null;null;null;1
limasov2@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Абдул;Абдулович;null;null;null;1
limasov3@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Абраам;Линкольн;null;null;null;1
limasov4@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Август;Августианский;null;null;null;1
limasov5@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Авдей;Авдеевич;null;null;null;1
limasov6@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Авенир;Авенирович;null;null;null;1
limasov7@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Авраам;Авраамович;null;null;null;1
limasov8@gmail.com;$2a$10$Yfzv8zh8wC619Y5Tr07uIOAES/G.k0SK6XB5Nc8IvmRARjxknjURO;Аарон;Ааронович;null;null;null;1
