first_name;second_name;patronymic;position;email;hash_password
Джон;Дейви;Харис;Директор;jdh@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Саймон;Солус;;Секретарь;ssolus@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Александр;Иванов;Петрович;Менеджер;alex.ivanov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Елена;Смирнова;Алексеевна;Аналитик;elena.smirnova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Дмитрий;Кузнецов;Сергеевич;Разработчик;dmitry.kuznetsov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ольга;Попова;Владимировна;Дизайнер;olga.popova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Михаил;Васильев;Игоревич;Тестировщик;mikhail.vasilyev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Анна;Петрова;Дмитриевна;Маркетолог;anna.petrova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Сергей;Соколов;Анатольевич;Системный администратор;sergey.sokolov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Наталья;Михайлова;Сергеевна;Бухгалтер;natalya.mikhaylova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Иван;Новиков;Валентинович;Инженер;ivan.novikov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Татьяна;Федорова;Олеговна;HR-менеджер;tatiana.fedorova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
