name;position;login;password
Admin;frontend developer;Admin123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Alice;Designer;Alice123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Bob;Backend developer;Bob123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Charlie;QA engineer;Charlie123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Diana;Product manager;Diana123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Ethan;DevOps engineer;Ethan123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Fiona;Data analyst;Fiona123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
George;UX researcher;George123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Hannah;Scrum master;Hannah123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Ivan;System administrator;Ivan123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Julia;Mobile developer;Julia123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Kevin;Fullstack developer;Kevin123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Laura;Technical writer;Laura123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Michael;Project manager;Michael123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Nina;Business analyst;Nina123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Oscar;Security engineer;Oscar123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Paula;HR specialist;Paula123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
